Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
34.5,55,Male,2,0,no change,2,0.62,1.1,48.9,0.36,27.23274465,29.5
34.3,35,Male,2,0,no change,3,0.78,1.1,46.6,0.83,21.46193662,29.5
34.3,55,Male,1,0,no change,5,0.68,1,45.9,0.51,22.77555576,29.5
34.5,55,Male,3,0,cooler,5,0.53,1,45.1,0.52,21.12301339,29.5
34.4,55,Male,2,0,no change,2,0.67,1,44.5,0.22,24.38237298,29.5
34.5,35,Male,1,0,no change,6,0.55,1,44.4,0.4,23.72453724,29.5
34.5,35,Male,3,0,no change,2,0.78,1,46.6,0.46,25.89060219,29.5
34.7,45,Male,1,1,no change,5,0.63,1,45.9,0.43,25,29.5
34.7,55,Male,2,1,cooler,5,0.68,1,46.2,0.47,25.63211647,29.5
34.5,55,Male,2,0,cooler,5,0.74,1,45.9,0.42,27.44776257,29.5
34.7,45,Male,2,0,no change,2,0.68,1.1,46.2,0.42,25.20018614,29.5
34.8,35,Male,3,0,no change,2,0.74,1.1,45.7,0.69,21.18102362,29.5
34.9,35,Male,2,0,no change,5,0.67,1.2,45.1,0.18,18.75,29.5
34.7,55,Male,2,1,cooler,2,0.61,1,45.1,0.8,28.3070584,29.5
34.6,55,Male,2,0,cooler,2,0.64,1,44.8,0.22,26.53375883,29.5
34.5,25,Male,2,0,cooler,5,0.59,1.5,45.1,0.5,23.45041901,29.5
34.8,35,Male,0,0,no change,3,0.68,1,40.2,0.57,25.98811809,29.5
34.6,55,Male,3,0,warmer,2,0.74,1,40.5,0.19,27.493446,29.5
35.2,55,Male,0,0,no change,5,0.59,1.1,38.7,0.44,25.20018614,29.5
33.8,45,Male,0,1,no change,5,0.59,1.7,41.2,0.26,25.14644451,29.5
33.6,25,Male,3,0,no change,3,0.74,1.4,41.2,0.38,22.75830678,29.5
33.7,45,Male,2,0,no change,2,0.74,1.2,41.5,0.29,16.09372449,29.5
33.8,45,Male,3,0,no change,3,0.63,1.1,41.5,1.04,20.54441979,29.5
34.1,35,Male,3,0,no change,3,0.63,1.4,40.2,0.56,26.92622628,29.5
33.9,45,Male,0,0,no change,4,0.59,1.3,39.9,0.68,22.31572131,29.5
33.6,25,Male,3,0,no change,4,0.59,1.1,39.7,2.18,19.99502278,29.5
